Account Balance,Duration of Credit,Credit History,Purpose,Credit Amount,Savings,Employment,Installment rate,Personal Status,Guarantors,Residence,Property,Age,Other installments,Housing,Credit cards,Job,Dependents,Telephone,Foreign Worker,Creditability
0-200,36,Existing credit paid back duly,New Car,14318,<100,>7,4,Male-Single,None,2,None,57,None,Free,1,Executive,1,Yes,Yes,Bad
No Account,6,Other credits,New Car,362,100-500,1-4,4,Female-Divorced/Married,None,4,Car,52,None,Own,2,Unemployed-Resident,1,None,Yes,Good
None,20,Existing credit paid back duly,Furniture,2212,None,4-7,4,Male-Single,None,4,Car,39,None,Own,1,Employee,1,Yes,Yes,Good
0-200,18,Existing credit paid back duly,Used Car,12976,<100,Unemployed,3,Female-Divorced/Married,None,4,None,38,None,Free,1,Executive,1,Yes,Yes,Bad
No Account,22,Existing credit paid back duly,New Car,1283,None,4-7,4,Female-Divorced/Married,None,4,Life insurance,25,None,Rent,1,Employee,1,None,Yes,Good
>200,12,Existing credit paid back duly,New Car,1330,<100,<1,4,Male-Single,None,1,Real estate,26,None,Own,1,Employee,1,None,Yes,Good
No Account,30,Delayed,Bussiness,4272,100-500,1-4,2,Male-Single,None,2,Life insurance,26,None,Own,2,Unemployed-Resident,1,None,Yes,Good
No Account,18,Other credits,TV,2238,<100,1-4,2,Female-Divorced/Married,None,1,Car,25,None,Own,2,Employee,1,None,Yes,Good
No Account,18,Existing credit paid back duly,TV,1126,None,<1,4,Female-Divorced/Married,None,2,Real estate,21,None,Rent,1,Employee,1,Yes,Yes,Good
0-200,18,Other credits,Furniture,7374,<100,Unemployed,4,Male-Single,None,4,Life insurance,40,Stores,Own,2,Executive,1,Yes,Yes,Good
0-200,15,Other credits,Bussiness,2326,500-1000,1-4,2,Male-Single,None,4,Car,27,Bank,Own,1,Employee,1,None,Yes,Good
No Account,9,Existing credit paid back duly,Bussiness,1449,<100,4-7,3,Female-Divorced/Married,None,2,Car,27,None,Own,2,Employee,1,None,Yes,Good
No Account,18,Existing credit paid back duly,New Car,1820,<100,1-4,2,Male-Married/Widowed,None,2,Life insurance,30,None,Own,1,Executive,1,Yes,Yes,Good
0-200,12,Existing credit paid back duly,Furniture,983,>1000,<1,1,Female-Divorced/Married,None,4,Real estate,19,None,Rent,1,Unemployed-Resident,1,None,Yes,Good
None,36,Existing credit paid back duly,New Car,3249,<100,4-7,2,Male-Single,None,4,None,39,Bank,Free,1,Executive,2,Yes,Yes,Good
None,6,Other credits,TV,1957,<100,4-7,1,Female-Divorced/Married,None,4,Car,31,None,Own,1,Employee,1,None,Yes,Good
No Account,9,Other credits,Furniture,2406,<100,Unemployed,2,Male-Single,None,3,Car,31,None,Own,1,Executive,1,None,Yes,Good
0-200,39,Delayed,Education,11760,100-500,4-7,2,Male-Single,None,3,None,32,None,Rent,1,Employee,1,Yes,Yes,Good
None,12,Existing credit paid back duly,Furniture,2578,<100,Unemployed,3,Female-Divorced/Married,None,4,None,55,None,Free,1,Executive,1,None,Yes,Good
None,36,Other credits,Furniture,2348,<100,1-4,3,Male-Married/Widowed,None,2,Life insurance,46,None,Own,2,Employee,1,Yes,Yes,Good
0-200,12,Existing credit paid back duly,New Car,1223,<100,>7,1,Male-Divorced,None,1,Real estate,46,None,Rent,2,Employee,1,None,Yes,Bad
No Account,24,Other credits,TV,1516,>1000,1-4,4,Female-Divorced/Married,None,1,Real estate,43,None,Own,2,Unemployed-Resident,1,None,Yes,Good
No Account,18,Existing credit paid back duly,TV,1473,<100,<1,3,Male-Married/Widowed,None,4,Real estate,39,None,Own,1,Employee,1,Yes,Yes,Good
0-200,18,Other credits,Bussiness,1887,None,1-4,4,Male-Married/Widowed,None,4,Real estate,28,Bank,Own,2,Employee,1,None,Yes,Good
No Account,24,Delayed,Bussiness,8648,<100,<1,2,Male-Single,None,2,Car,27,Bank,Own,2,Employee,1,Yes,Yes,Bad
No Account,14,Delayed,New Car,802,<100,1-4,4,Male-Single,None,2,Car,27,None,Own,2,Unemployed-Resident,1,None,Yes,Good
0-200,18,Delayed,New Car,2899,None,>7,4,Male-Single,None,4,Car,43,None,Own,1,Employee,2,None,Yes,Good
0-200,24,Existing credit paid back duly,TV,2039,<100,<1,1,Male-Married/Widowed,None,1,Life insurance,22,None,Own,1,Employee,1,Yes,Yes,Bad
No Account,24,Other credits,Used Car,2197,None,4-7,4,Male-Single,None,4,Car,43,None,Own,2,Employee,2,Yes,Yes,Good
None,15,Existing credit paid back duly,TV,1053,<100,<1,4,Male-Married/Widowed,None,2,Real estate,27,None,Own,1,Employee,1,None,No,Good
No Account,24,Existing credit paid back duly,TV,3235,500-1000,>7,3,Male-Divorced,None,2,Car,26,None,Own,1,Executive,1,Yes,Yes,Good
>200,12,Other credits,New Car,939,500-1000,4-7,4,Male-Married/Widowed,None,2,Real estate,28,None,Own,3,Employee,1,Yes,Yes,Bad
0-200,24,Existing credit paid back duly,TV,1967,<100,>7,4,Female-Divorced/Married,None,4,Car,20,None,Own,1,Employee,1,Yes,Yes,Good
No Account,33,Other credits,Used Car,7253,<100,4-7,3,Male-Single,None,2,Car,35,None,Own,2,Executive,1,Yes,Yes,Good
No Account,12,Other credits,Bussiness,2292,<100,Unemployed,4,Male-Single,None,2,Car,42,Stores,Own,2,Executive,1,Yes,Yes,Bad
No Account,10,Existing credit paid back duly,New Car,1597,500-1000,1-4,3,Male-Single,None,2,None,40,None,Rent,1,Unemployed-Resident,2,None,No,Good
None,24,Existing credit paid back duly,New Car,1381,None,1-4,4,Female-Divorced/Married,None,2,Life insurance,35,None,Own,1,Employee,1,None,Yes,Bad
No Account,36,Other credits,Used Car,5842,<100,>7,2,Male-Single,None,2,Life insurance,35,None,Own,2,Employee,2,Yes,Yes,Good
None,12,Existing credit paid back duly,New Car,2579,<100,<1,4,Male-Single,None,1,Real estate,33,None,Own,1,Unemployed-Resident,2,None,Yes,Bad
None,18,Delayed,Education,8471,None,1-4,1,Female-Divorced/Married,None,2,Car,23,None,Rent,2,Employee,1,Yes,Yes,Good
No Account,21,Existing credit paid back duly,New Car,2782,500-1000,4-7,1,Female-Divorced/Married,None,2,Car,31,Bank,Own,1,Executive,1,None,Yes,Good
0-200,18,Existing credit paid back duly,New Car,1042,None,1-4,4,Female-Divorced/Married,None,2,Life insurance,33,None,Own,1,Employee,1,None,Yes,Bad
No Account,15,Existing credit paid back duly,New Car,3186,>1000,4-7,2,Female-Divorced/Married,None,3,Car,20,None,Rent,1,Employee,1,None,Yes,Good
0-200,12,Existing credit paid back duly,Used Car,2028,None,1-4,4,Male-Single,None,2,Car,30,None,Own,1,Employee,1,None,Yes,Good
0-200,12,Other credits,New Car,958,<100,4-7,2,Male-Single,None,3,Real estate,47,None,Own,2,Unemployed-Resident,2,None,Yes,Good
No Account,21,Delayed,Furniture,1591,100-500,4-7,4,Male-Single,None,3,Real estate,34,None,Own,2,Executive,1,None,Yes,Good
0-200,12,Existing credit paid back duly,Furniture,2762,None,>7,1,Female-Divorced/Married,None,2,Life insurance,25,Bank,Own,1,Employee,1,Yes,Yes,Bad
0-200,18,Existing credit paid back duly,Used Car,2779,<100,1-4,1,Male-Married/Widowed,None,3,Car,21,None,Rent,1,Employee,1,Yes,Yes,Good
No Account,28,Other credits,TV,2743,<100,>7,4,Male-Single,None,2,Car,29,None,Own,2,Employee,1,None,Yes,Good
No Account,18,Other credits,TV,1149,>1000,1-4,4,Male-Single,None,3,Real estate,46,None,Own,2,Employee,1,None,Yes,Good
No Account,9,Existing credit paid back duly,Furniture,1313,<100,>7,1,Male-Single,None,4,Car,20,None,Own,1,Employee,1,None,Yes,Good
None,18,Other credits,Repairs,1190,<100,Unemployed,2,Female-Divorced/Married,None,4,None,55,None,Free,3,Unemployed-Nonresident,2,None,Yes,Bad
No Account,5,Existing credit paid back duly,Bussiness,3448,<100,4-7,1,Male-Single,None,4,Real estate,74,None,Own,1,Unemployed-Resident,1,None,Yes,Good
0-200,24,Existing credit paid back duly,Others,11328,<100,1-4,2,Male-Single,Co-applicant,3,Car,29,Bank,Own,2,Executive,1,Yes,Yes,Bad
None,6,Other credits,Furniture,1872,<100,Unemployed,4,Male-Single,None,4,None,36,None,Free,3,Executive,1,Yes,Yes,Good
No Account,24,Other credits,Repairs,2058,<100,1-4,4,Male-Divorced,None,2,Real estate,33,None,Own,2,Employee,1,Yes,Yes,Good
None,9,Existing credit paid back duly,Furniture,2136,<100,1-4,3,Male-Single,None,2,Real estate,25,None,Own,1,Employee,1,None,Yes,Good
0-200,12,Existing credit paid back duly,TV,1484,None,1-4,2,Male-Married/Widowed,None,1,Real estate,25,None,Own,1,Employee,1,Yes,Yes,Bad
No Account,6,Existing credit paid back duly,Repairs,660,500-1000,4-7,2,Male-Married/Widowed,None,4,Real estate,23,None,Rent,1,Unemployed-Resident,1,None,Yes,Good
No Account,24,Other credits,New Car,1287,>1000,>7,4,Female-Divorced/Married,None,4,Real estate,37,None,Own,2,Employee,1,Yes,Yes,Good
None,42,Other credits,Repairs,3394,<100,Unemployed,4,Male-Single,Co-applicant,4,Car,65,None,Own,2,Unemployed-Nonresident,1,None,Yes,Good
>200,12,All credit paid back duly,Bussiness,609,<100,<1,4,Female-Divorced/Married,None,1,Real estate,26,None,Own,1,Unemployed-Nonresident,1,None,Yes,Bad
No Account,12,Existing credit paid back duly,New Car,1884,<100,>7,4,Male-Single,None,4,Car,39,None,Own,1,Executive,1,Yes,Yes,Good
None,12,Existing credit paid back duly,Furniture,1620,<100,1-4,2,Female-Divorced/Married,Co-applicant,3,Life insurance,30,None,Own,1,Employee,1,None,Yes,Good
0-200,20,Delayed,Others,2629,<100,1-4,2,Male-Single,None,3,Car,29,Bank,Own,2,Employee,1,Yes,Yes,Good
No Account,12,Existing credit paid back duly,Education,719,<100,>7,4,Male-Single,None,4,Car,41,Bank,Own,1,Unemployed-Resident,2,None,Yes,Bad
0-200,48,Other credits,Furniture,5096,<100,1-4,2,Female-Divorced/Married,None,3,Car,30,None,Own,1,Executive,1,Yes,Yes,Bad
No Account,9,Other credits,Education,1244,None,>7,4,Female-Divorced/Married,None,4,Life insurance,41,None,Rent,2,Unemployed-Resident,1,None,Yes,Good
None,36,Existing credit paid back duly,New Car,1842,<100,<1,4,Female-Divorced/Married,None,4,Car,34,None,Own,1,Employee,1,Yes,Yes,Bad
0-200,7,Existing credit paid back duly,TV,2576,<100,1-4,2,Male-Single,Guarantor,2,Real estate,35,None,Own,1,Employee,1,None,Yes,Good
>200,12,Existing credit paid back duly,Furniture,1424,None,>7,3,Female-Divorced/Married,None,4,Real estate,55,None,Own,1,Executive,1,Yes,Yes,Good
0-200,15,Delayed,Repairs,1512,>1000,1-4,3,Male-Married/Widowed,None,3,Life insurance,61,Stores,Own,2,Employee,1,None,Yes,Bad
No Account,36,Other credits,Used Car,11054,None,1-4,4,Male-Single,None,2,Car,30,None,Own,1,Executive,1,Yes,Yes,Good
No Account,6,Existing credit paid back duly,TV,518,<100,1-4,3,Female-Divorced/Married,None,1,Real estate,29,None,Own,1,Employee,1,None,Yes,Good
No Account,12,No credit,Furniture,2759,<100,>7,2,Male-Single,None,4,Life insurance,34,None,Own,2,Employee,1,None,Yes,Good
No Account,24,Existing credit paid back duly,Used Car,2670,<100,>7,4,Male-Single,None,4,Car,35,None,Own,1,Executive,1,Yes,Yes,Good
None,24,Existing credit paid back duly,New Car,4817,<100,4-7,2,Male-Single,Co-applicant,3,Life insurance,31,None,Own,1,Employee,1,Yes,Yes,Bad
No Account,24,Existing credit paid back duly,Used Car,2679,<100,<1,4,Female-Divorced/Married,None,1,None,29,None,Own,1,Executive,1,Yes,Yes,Good
None,11,Other credits,New Car,3905,<100,1-4,2,Male-Single,None,2,Real estate,36,None,Rent,2,Employee,2,None,Yes,Good
None,12,Existing credit paid back duly,Used Car,3386,<100,>7,3,Male-Single,None,4,None,35,None,Free,1,Employee,1,Yes,Yes,Bad
None,6,Existing credit paid back duly,Appliances,343,<100,<1,4,Female-Divorced/Married,None,1,Real estate,27,None,Own,1,Employee,1,None,Yes,Good
No Account,18,Existing credit paid back duly,TV,4594,<100,<1,3,Male-Single,None,2,Car,32,None,Own,1,Employee,1,Yes,Yes,Good
None,36,Existing credit paid back duly,Furniture,3620,<100,1-4,1,Male-Single,Guarantor,2,Life insurance,37,None,Own,1,Employee,2,None,Yes,Good
None,15,Existing credit paid back duly,New Car,1721,<100,<1,2,Male-Single,None,3,Real estate,36,None,Own,1,Employee,1,None,Yes,Good
0-200,12,Existing credit paid back duly,Furniture,3017,<100,<1,3,Female-Divorced/Married,None,1,Real estate,34,None,Rent,1,Executive,1,None,Yes,Good
0-200,12,Existing credit paid back duly,Retraining,754,None,>7,4,Male-Single,None,4,Life insurance,38,None,Own,2,Employee,1,None,Yes,Good
No Account,18,Existing credit paid back duly,Bussiness,1950,<100,4-7,4,Male-Single,None,1,Car,34,Stores,Own,2,Employee,1,Yes,Yes,Good
None,24,Existing credit paid back duly,Used Car,2924,<100,1-4,3,Male-Single,Guarantor,4,None,63,Bank,Own,1,Employee,2,Yes,Yes,Good
None,24,Delayed,TV,1659,<100,<1,4,Female-Divorced/Married,None,2,Car,29,None,Rent,1,Unemployed-Resident,1,Yes,Yes,Bad
No Account,48,Delayed,TV,7238,None,>7,3,Male-Single,None,3,Car,32,Bank,Own,2,Employee,2,None,Yes,Good
No Account,33,Delayed,Bussiness,2764,<100,1-4,2,Female-Divorced/Married,None,2,Car,26,None,Own,2,Employee,1,Yes,Yes,Good
No Account,24,Delayed,Used Car,4679,<100,4-7,3,Male-Single,None,3,Car,35,None,Own,2,Unemployed-Resident,1,Yes,Yes,Good
0-200,24,Existing credit paid back duly,TV,3092,100-500,<1,3,Male-Married/Widowed,None,2,Car,22,None,Rent,1,Employee,1,Yes,Yes,Bad
None,6,Existing credit paid back duly,Education,448,<100,<1,4,Female-Divorced/Married,None,4,Life insurance,23,None,Own,1,Employee,1,None,Yes,Bad
None,9,Existing credit paid back duly,New Car,654,<100,1-4,4,Male-Single,None,3,Car,28,None,Own,1,Unemployed-Resident,1,None,Yes,Bad
No Account,6,Existing credit paid back duly,Retraining,1238,None,Unemployed,4,Male-Single,None,4,Life insurance,36,None,Own,1,Executive,2,Yes,Yes,Good
0-200,18,Other credits,TV,1245,<100,1-4,4,Male-Married/Widowed,None,2,Car,33,None,Own,1,Employee,1,None,Yes,Bad
None,18,No credit,Furniture,3114,<100,<1,1,Female-Divorced/Married,None,4,Life insurance,26,None,Rent,1,Employee,1,None,Yes,Bad
No Account,39,Existing credit paid back duly,Used Car,2569,500-1000,1-4,4,Male-Single,None,4,Car,24,None,Own,1,Employee,1,None,Yes,Good
>200,24,Existing credit paid back duly,TV,5152,<100,4-7,4,Male-Single,None,2,Car,25,Bank,Own,1,Employee,1,None,Yes,Good
0-200,12,Existing credit paid back duly,Bussiness,1037,100-500,4-7,3,Male-Single,None,4,Real estate,39,None,Own,1,Unemployed-Resident,1,None,Yes,Good
None,15,Other credits,Furniture,1478,<100,>7,4,Male-Single,None,4,Car,44,None,Own,2,Employee,2,Yes,Yes,Good
0-200,12,Other credits,TV,3573,<100,1-4,1,Female-Divorced/Married,None,1,Real estate,23,None,Own,1,Unemployed-Resident,1,None,Yes,Good
0-200,24,Existing credit paid back duly,New Car,1201,<100,<1,4,Male-Single,None,1,Life insurance,26,None,Own,1,Employee,1,None,Yes,Good
None,30,Existing credit paid back duly,Furniture,3622,>1000,>7,4,Female-Divorced/Married,None,4,Life insurance,57,None,Rent,2,Employee,1,Yes,Yes,Good
No Account,15,Delayed,Furniture,960,>1000,4-7,3,Female-Divorced/Married,None,2,Life insurance,30,None,Own,2,Employee,1,None,Yes,Good
No Account,12,Other credits,New Car,1163,500-1000,1-4,4,Male-Single,None,4,Real estate,44,None,Own,1,Employee,1,Yes,Yes,Good
0-200,6,Delayed,New Car,1209,<100,Unemployed,4,Male-Single,None,4,Life insurance,47,None,Own,1,Executive,1,Yes,Yes,Bad
No Account,12,Existing credit paid back duly,TV,3077,<100,1-4,2,Male-Single,None,4,Car,52,None,Own,1,Employee,1,Yes,Yes,Good
No Account,24,Existing credit paid back duly,New Car,3757,<100,>7,4,Female-Divorced/Married,Co-applicant,4,None,62,None,Free,1,Employee,1,Yes,Yes,Good
No Account,10,Existing credit paid back duly,New Car,1418,100-500,1-4,3,Male-Single,None,2,Real estate,35,None,Rent,1,Unemployed-Resident,1,None,No,Good
No Account,6,Existing credit paid back duly,New Car,3518,<100,1-4,2,Male-Single,Guarantor,3,Life insurance,26,None,Rent,1,Employee,1,None,Yes,Good
No Account,12,Other credits,TV,1934,<100,>7,2,Male-Single,None,2,None,26,None,Own,2,Employee,1,None,Yes,Good
0-200,27,No credit,Bussiness,8318,<100,>7,2,Female-Divorced/Married,None,4,None,42,None,Free,2,Executive,1,Yes,Yes,Bad
No Account,6,Other credits,TV,1237,100-500,1-4,1,Female-Divorced/Married,None,1,Life insurance,27,None,Own,2,Employee,1,None,Yes,Good
0-200,6,Existing credit paid back duly,TV,368,None,>7,4,Male-Single,None,4,Life insurance,38,None,Own,1,Employee,1,None,Yes,Good
None,12,Other credits,New Car,2122,<100,1-4,3,Male-Single,None,2,Real estate,39,None,Rent,2,Unemployed-Resident,2,None,No,Good
None,24,Existing credit paid back duly,Furniture,2996,None,1-4,2,Male-Married/Widowed,None,4,Car,20,None,Own,1,Employee,1,None,Yes,Bad
0-200,36,Existing credit paid back duly,Furniture,9034,100-500,<1,4,Male-Single,Co-applicant,1,None,29,None,Rent,1,Executive,1,Yes,Yes,Bad
No Account,24,Other credits,Furniture,1585,<100,4-7,4,Male-Single,None,3,Life insurance,40,None,Own,2,Employee,1,None,Yes,Good
0-200,18,Existing credit paid back duly,TV,1301,<100,>7,4,Male-Married/Widowed,Guarantor,2,Real estate,32,None,Own,1,Unemployed-Resident,1,None,Yes,Good
>200,6,Other credits,New Car,1323,100-500,>7,2,Male-Divorced,None,4,Car,28,None,Own,2,Employee,2,Yes,Yes,Good
None,24,Existing credit paid back duly,New Car,3123,<100,<1,4,Female-Divorced/Married,None,1,Life insurance,27,None,Own,1,Employee,1,None,Yes,Bad
None,36,Existing credit paid back duly,Used Car,5493,<100,>7,2,Male-Single,None,4,None,42,None,Free,1,Employee,2,None,Yes,Good
>200,9,Existing credit paid back duly,TV,1126,100-500,>7,2,Male-Divorced,None,4,Real estate,49,None,Own,1,Employee,1,None,Yes,Good
0-200,24,Other credits,TV,1216,100-500,<1,4,Male-Single,None,4,None,38,Bank,Own,2,Employee,2,None,Yes,Bad
None,24,Existing credit paid back duly,New Car,1207,<100,<1,4,Female-Divorced/Married,None,4,Life insurance,24,None,Rent,1,Employee,1,None,Yes,Bad
No Account,10,Existing credit paid back duly,New Car,1309,None,1-4,4,Male-Single,Guarantor,4,Life insurance,27,None,Own,1,Unemployed-Resident,1,None,Yes,Bad
>200,15,Other credits,Used Car,2360,500-1000,1-4,2,Male-Single,None,2,Car,36,None,Own,1,Employee,1,Yes,Yes,Good
0-200,15,All credit paid back duly,New Car,6850,100-500,Unemployed,1,Male-Single,None,2,Life insurance,34,None,Own,1,Executive,2,Yes,Yes,Bad
No Account,24,Existing credit paid back duly,TV,1413,<100,1-4,4,Male-Married/Widowed,None,2,Life insurance,28,None,Own,1,Employee,1,None,Yes,Good
No Account,39,Existing credit paid back duly,Used Car,8588,100-500,>7,4,Male-Single,None,2,Car,45,None,Own,1,Executive,1,Yes,Yes,Good
None,12,Existing credit paid back duly,New Car,759,<100,4-7,4,Male-Single,None,2,Real estate,26,None,Own,1,Employee,1,None,Yes,Bad
No Account,36,Existing credit paid back duly,Used Car,4686,<100,1-4,2,Male-Single,None,2,None,32,None,Free,1,Executive,1,Yes,Yes,Good
>200,15,Existing credit paid back duly,Bussiness,2687,<100,4-7,2,Male-Single,None,4,Life insurance,26,None,Rent,1,Employee,1,Yes,Yes,Good
0-200,12,Delayed,TV,585,<100,1-4,4,Male-Married/Widowed,Co-applicant,4,Real estate,20,None,Rent,2,Employee,1,None,Yes,Good
No Account,24,Existing credit paid back duly,New Car,2255,None,<1,4,Male-Single,None,1,Life insurance,54,None,Own,1,Employee,1,None,Yes,Good
None,6,Other credits,New Car,609,<100,4-7,4,Female-Divorced/Married,None,3,Life insurance,37,None,Own,2,Employee,1,None,No,Good
None,6,Other credits,New Car,1361,<100,<1,2,Male-Single,None,4,Real estate,40,None,Own,1,Unemployed-Resident,2,None,No,Good
No Account,36,Other credits,Furniture,7127,<100,<1,2,Female-Divorced/Married,None,4,Life insurance,23,None,Rent,2,Employee,1,Yes,Yes,Bad
None,6,Existing credit paid back duly,New Car,1203,100-500,>7,3,Male-Single,None,2,Life insurance,43,None,Own,1,Employee,1,Yes,Yes,Good
No Account,6,Other credits,TV,700,None,>7,4,Male-Single,None,4,None,36,None,Free,2,Employee,1,None,Yes,Good
No Account,24,Other credits,Repairs,5507,<100,>7,3,Male-Single,None,4,None,44,None,Free,2,Employee,1,None,Yes,Good
None,18,Existing credit paid back duly,TV,3190,<100,1-4,2,Female-Divorced/Married,None,2,Real estate,24,None,Own,1,Employee,1,None,Yes,Bad
None,48,No credit,Furniture,7119,<100,1-4,3,Male-Single,None,4,None,53,None,Free,2,Employee,2,None,Yes,Bad
No Account,24,Existing credit paid back duly,Used Car,3488,100-500,4-7,3,Female-Divorced/Married,None,4,Car,23,None,Own,1,Employee,1,None,Yes,Good
0-200,18,Existing credit paid back duly,TV,1113,<100,1-4,4,Female-Divorced/Married,Guarantor,4,Real estate,26,None,Own,1,Unemployed-Resident,2,None,Yes,Good
0-200,26,Existing credit paid back duly,Used Car,7966,<100,<1,2,Male-Single,None,3,Car,30,None,Own,2,Employee,1,None,Yes,Good
No Account,15,Other credits,Education,1532,100-500,1-4,4,Female-Divorced/Married,None,3,Car,31,None,Own,1,Employee,1,None,Yes,Good
No Account,4,Other credits,TV,1503,<100,4-7,2,Male-Single,None,1,Real estate,42,None,Own,2,Unemployed-Resident,2,None,Yes,Good
None,36,Existing credit paid back duly,TV,2302,<100,1-4,4,Male-Divorced,None,4,Car,31,None,Rent,1,Employee,1,None,Yes,Bad
None,6,Existing credit paid back duly,New Car,662,<100,<1,3,Male-Single,None,4,Real estate,41,None,Own,1,Unemployed-Resident,2,Yes,Yes,Good
0-200,36,Existing credit paid back duly,Education,2273,<100,4-7,3,Male-Single,None,1,Car,32,None,Own,2,Employee,2,None,Yes,Good
0-200,15,Existing credit paid back duly,New Car,2631,100-500,1-4,2,Female-Divorced/Married,None,4,Car,28,None,Rent,2,Employee,1,Yes,Yes,Bad
No Account,12,Delayed,Used Car,1503,<100,1-4,4,Male-Married/Widowed,None,4,Real estate,41,None,Rent,1,Employee,1,None,Yes,Good
No Account,24,Existing credit paid back duly,TV,1311,100-500,4-7,4,Male-Married/Widowed,None,3,Life insurance,26,None,Own,1,Employee,1,Yes,Yes,Good
No Account,24,Existing credit paid back duly,TV,3105,None,<1,4,Male-Single,None,2,Car,25,None,Own,2,Employee,1,None,Yes,Good
>200,21,Other credits,Education,2319,<100,<1,2,Male-Divorced,None,1,Car,33,None,Rent,1,Employee,1,None,Yes,Bad
None,6,Existing credit paid back duly,New Car,1374,None,Unemployed,4,Female-Divorced/Married,None,3,Life insurance,75,None,Own,1,Executive,1,Yes,Yes,Good
0-200,18,Other credits,Furniture,3612,<100,>7,3,Female-Divorced/Married,None,4,Life insurance,37,None,Own,1,Employee,1,Yes,Yes,Good
None,48,Existing credit paid back duly,New Car,7763,<100,>7,4,Male-Single,None,4,None,42,Bank,Free,1,Executive,1,None,Yes,Bad
>200,18,Existing credit paid back duly,Furniture,3049,<100,<1,1,Female-Divorced/Married,None,1,Life insurance,45,Stores,Own,1,Unemployed-Resident,1,None,Yes,Good
0-200,12,Existing credit paid back duly,TV,1534,<100,<1,1,Male-Married/Widowed,None,1,Real estate,23,None,Rent,1,Employee,1,None,Yes,Bad
No Account,24,Delayed,New Car,2032,<100,>7,4,Male-Single,None,4,None,60,None,Free,2,Employee,1,Yes,Yes,Good
None,30,Existing credit paid back duly,Furniture,6350,None,>7,4,Male-Single,None,4,Life insurance,31,None,Own,1,Employee,1,None,Yes,Bad
>200,18,Existing credit paid back duly,Furniture,2864,<100,1-4,2,Male-Single,None,1,Real estate,34,None,Own,1,Unemployed-Resident,2,None,Yes,Bad
No Account,12,Other credits,New Car,1255,<100,>7,4,Male-Single,None,4,Real estate,61,None,Own,2,Unemployed-Resident,1,None,Yes,Good
None,24,Delayed,New Car,1333,<100,Unemployed,4,Male-Single,None,2,Real estate,43,None,Free,2,Employee,2,None,Yes,Bad
No Account,24,Other credits,New Car,2022,<100,1-4,4,Female-Divorced/Married,None,4,Car,37,None,Own,1,Employee,1,Yes,Yes,Good
No Account,24,Existing credit paid back duly,TV,1552,<100,4-7,3,Male-Single,None,1,Car,32,Bank,Own,1,Employee,2,None,Yes,Good
None,12,All credit paid back duly,TV,626,<100,1-4,4,Female-Divorced/Married,None,4,Real estate,24,Bank,Own,1,Unemployed-Resident,1,None,Yes,Bad
No Account,48,Other credits,Used Car,8858,None,4-7,2,Male-Single,None,1,None,35,None,Free,2,Employee,1,Yes,Yes,Good
No Account,12,Other credits,Repairs,996,None,4-7,4,Female-Divorced/Married,None,4,Real estate,23,None,Own,2,Employee,1,None,Yes,Good
No Account,6,All credit paid back duly,TV,1750,500-1000,>7,2,Male-Single,None,4,Life insurance,45,Bank,Own,1,Unemployed-Resident,2,None,Yes,Good
None,48,Existing credit paid back duly,TV,6999,<100,4-7,1,Male-Married/Widowed,Guarantor,1,Real estate,34,None,Own,2,Employee,1,Yes,Yes,Bad
0-200,12,Other credits,New Car,1995,100-500,<1,4,Male-Single,None,1,Car,27,None,Own,1,Employee,1,None,Yes,Good
0-200,9,Existing credit paid back duly,Education,1199,<100,4-7,4,Female-Divorced/Married,None,4,Life insurance,67,None,Own,2,Executive,1,Yes,Yes,Good
0-200,12,Existing credit paid back duly,TV,1331,<100,<1,2,Male-Single,None,1,Car,22,Stores,Own,1,Employee,1,None,Yes,Bad
0-200,18,No credit,New Car,2278,100-500,<1,3,Female-Divorced/Married,None,3,Car,28,None,Own,2,Employee,1,None,Yes,Bad
No Account,21,No credit,New Car,5003,None,1-4,1,Female-Divorced/Married,None,4,Life insurance,29,Bank,Own,2,Employee,1,Yes,Yes,Bad
None,24,All credit paid back duly,Furniture,3552,<100,4-7,3,Male-Single,None,4,Car,27,Bank,Own,1,Employee,1,None,Yes,Bad
0-200,18,Other credits,Furniture,1928,<100,<1,2,Male-Single,None,2,Real estate,31,None,Own,2,Unemployed-Resident,1,None,Yes,Bad
None,24,Existing credit paid back duly,Used Car,2964,None,>7,4,Male-Single,None,4,None,49,Bank,Free,1,Employee,2,Yes,Yes,Good
None,24,All credit paid back duly,TV,1546,<100,4-7,4,Male-Single,Guarantor,4,Car,24,Bank,Rent,1,Unemployed-Resident,1,None,Yes,Bad
>200,6,Delayed,TV,683,<100,<1,2,Female-Divorced/Married,None,1,Life insurance,29,Bank,Own,1,Employee,1,None,Yes,Good
0-200,36,Existing credit paid back duly,New Car,12389,None,1-4,1,Male-Single,None,4,None,37,None,Free,1,Employee,1,Yes,Yes,Bad
0-200,24,Delayed,Bussiness,4712,None,1-4,4,Male-Single,None,2,Life insurance,37,Bank,Own,2,Executive,1,Yes,Yes,Good
0-200,24,Delayed,TV,1553,100-500,4-7,3,Female-Divorced/Married,None,2,Life insurance,23,None,Rent,2,Employee,1,Yes,Yes,Good
None,12,Existing credit paid back duly,New Car,1372,<100,4-7,2,Male-Divorced,None,3,Car,36,None,Own,1,Employee,1,None,Yes,Bad
No Account,24,Other credits,TV,2578,>1000,>7,2,Male-Single,None,2,Car,34,None,Own,1,Employee,1,None,Yes,Good
